larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,1,balanus_glandula,delta_0,0.01566076734180788
high,1,chthamalus_dalli,delta_0,-1.1881407317004822e-4
high,1,limpets,delta_0,-0.00452122526866261
high,1,balanus_glandula,delta_c,0.055653556499755785
high,1,chthamalus_dalli,delta_c,0.19695631881953402
high,1,limpets,delta_c,-0.010293670927228105
high,1,balanus_glandula,delta_p,0.01259256838725642
high,1,chthamalus_dalli,delta_p,-9.629096132979242e-5
high,1,limpets,delta_p,-0.0045637293914772
high,1,balanus_glandula,r_bar,0.04258585880474519
high,1,chthamalus_dalli,r_bar,0.01275866931894254
high,1,limpets,r_bar,-0.006062964766598178
high,1,balanus_glandula,delta_cp,-0.04132103342407489
high,1,chthamalus_dalli,delta_cp,-0.18398254446609164
high,1,limpets,delta_cp,0.013315660820769737
high,2,balanus_glandula,delta_0,0.016118602196452114
high,2,chthamalus_dalli,delta_0,-1.1926166485531908e-4
high,2,limpets,delta_0,-0.004476695981818435
high,2,balanus_glandula,delta_c,6.310466773300494e-4
high,2,chthamalus_dalli,delta_c,0.02628843683575921
high,2,limpets,delta_c,-0.003855704665347348
high,2,balanus_glandula,delta_p,0.012996323397125753
high,2,chthamalus_dalli,delta_p,-9.603949116476773e-5
high,2,limpets,delta_p,-0.004539202916472251
high,2,balanus_glandula,r_bar,0.025999155670141105
high,2,chthamalus_dalli,r_bar,-0.003966338886876919
high,2,limpets,r_bar,-0.021961208452306424
high,2,balanus_glandula,delta_cp,-0.0037468166007668113
high,2,chthamalus_dalli,delta_cp,-0.030039474566616042
high,2,limpets,delta_cp,-0.00908960488866839
high,3,balanus_glandula,delta_0,0.015078743996796984
high,3,chthamalus_dalli,delta_0,-1.1740671428872584e-4
high,3,limpets,delta_0,-0.004573828256006163
high,3,balanus_glandula,delta_c,0.5212454917701081
high,3,chthamalus_dalli,delta_c,0.007977306348972757
high,3,limpets,delta_c,-0.013678687187271388
high,3,balanus_glandula,delta_p,0.015360760782118232
high,3,chthamalus_dalli,delta_p,-2.669636227312644e-4
high,3,limpets,delta_p,-0.004601615699914352
high,3,balanus_glandula,r_bar,0.03715617527792281
high,3,chthamalus_dalli,r_bar,0.09264342429519123
high,3,limpets,r_bar,-0.00411301060726843
high,3,balanus_glandula,delta_cp,-0.5145288212711006
high,3,chthamalus_dalli,delta_cp,0.08505048828323847
high,3,limpets,delta_cp,0.018741120535923472
high,4,balanus_glandula,delta_0,0.01473194841294434
