larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,1,balanus_glandula,delta_0,0.01493625976850832
high,1,chthamalus_dalli,delta_0,-1.181737646596126e-4
high,1,limpets,delta_0,-0.004550511673889646
high,1,balanus_glandula,delta_c,0.025267064135325867
high,1,chthamalus_dalli,delta_c,0.05411882185711536
high,1,limpets,delta_c,-0.006246421084711518
high,1,balanus_glandula,delta_p,0.01507761503365912
high,1,chthamalus_dalli,delta_p,-9.73878582100074e-5
high,1,limpets,delta_p,-0.004636196306875395
high,1,balanus_glandula,r_bar,0.026189122940290188
high,1,chthamalus_dalli,r_bar,-0.005154307529378732
high,1,limpets,r_bar,-0.01647178905195623
high,1,balanus_glandula,delta_cp,-0.02909181599720312
high,1,chthamalus_dalli,delta_cp,-0.059057567763624474
high,1,limpets,delta_cp,-0.001038659986479673
high,2,balanus_glandula,delta_0,0.01391121452132138
high,2,chthamalus_dalli,delta_0,-1.1595071970693649e-4
high,2,limpets,delta_0,-0.004698863457487712
high,2,balanus_glandula,delta_c,0.16772002745272996
high,2,chthamalus_dalli,delta_c,0.007720128936383519
high,2,limpets,delta_c,-0.004619207431011407
high,2,balanus_glandula,delta_p,0.010183234815412279
high,2,chthamalus_dalli,delta_p,-9.571096135829738e-5
high,2,limpets,delta_p,-0.005569224296930186
high,2,balanus_glandula,r_bar,0.02668517372376411
high,2,chthamalus_dalli,r_bar,0.32154703044384547
high,2,limpets,r_bar,-0.01914747367437708
high,2,balanus_glandula,delta_cp,-0.1651293030656995
high,2,chthamalus_dalli,delta_cp,0.3140385631885272
high,2,limpets,delta_cp,-0.0042601784889477745
high,3,balanus_glandula,delta_0,0.015048832254322075
high,3,chthamalus_dalli,delta_0,-1.1890228484900955e-4
high,3,limpets,delta_0,-0.004470161331963429
high,3,balanus_glandula,delta_c,0.0017679025257320014
high,3,chthamalus_dalli,delta_c,0.09196945042525684
high,3,limpets,delta_c,-0.04150021322077302
high,3,balanus_glandula,delta_p,0.014962877515495299
high,3,chthamalus_dalli,delta_p,-9.708464214353008e-5
high,3,limpets,delta_p,-0.004542375964052825
high,3,balanus_glandula,r_bar,0.024005390807755767
high,3,chthamalus_dalli,r_bar,0.22707178517461868
high,3,limpets,r_bar,-0.00343890991516127
high,3,balanus_glandula,delta_cp,-0.007774221487793609
high,3,chthamalus_dalli,delta_cp,0.13531832167635438
high,3,limpets,delta_cp,0.047073840601628
high,4,balanus_glandula,delta_0,0.014441425170303557
high,4,chthamalus_dalli,delta_0,-1.1765617749159851e-4
high,4,limpets,delta_0,-0.004592697677500035
high,4,balanus_glandula,delta_c,0.061661982817819316
high,4,chthamalus_dalli,delta_c,0.009991563790812341
high,4,limpets,delta_c,-0.008023245306355342
high,4,balanus_glandula,delta_p,0.014465377586679207
high,4,chthamalus_dalli,delta_p,-9.950335520636511e-5
high,4,limpets,delta_p,-0.004777119782557238
high,4,balanus_glandula,r_bar,0.031163695174223793
high,4,chthamalus_dalli,r_bar,0.4549632792283651
high,4,limpets,r_bar,0.03646355423237546
high,4,balanus_glandula,delta_cp,-0.059405090400578286
high,4,chthamalus_dalli,delta_cp,0.4451888749702507
high,4,limpets,delta_cp,0.053856616998788076
high,5,balanus_glandula,delta_0,0.015455916064737618
high,5,chthamalus_dalli,delta_0,-1.1938221742269217e-4
high,5,limpets,delta_0,-0.004725188760541954
high,5,balanus_glandula,delta_c,0.0012205828839073618
high,5,chthamalus_dalli,delta_c,0.06170351200650526
high,5,limpets,delta_c,-0.013063768085013416
high,5,balanus_glandula,delta_p,0.0159980512726986
high,5,chthamalus_dalli,delta_p,-1.0283545059608379e-4
high,5,limpets,delta_p,-0.0047298962571235
high,5,balanus_glandula,r_bar,0.10572225204078789
high,5,chthamalus_dalli,r_bar,-0.0031121254018136035
high,5,limpets,r_bar,-0.017024166547384256
high,5,balanus_glandula,delta_cp,0.07304770181944431
high,5,chthamalus_dalli,delta_cp,-0.06459341974030008
high,5,limpets,delta_cp,0.0054946865552946145
high,6,balanus_glandula,delta_0,0.016715708801652518
high,6,chthamalus_dalli,delta_0,-1.1785275701903242e-4
high,6,limpets,delta_0,-0.004499089272503531
high,6,balanus_glandula,delta_c,0.0018020343569367103
high,6,chthamalus_dalli,delta_c,0.008032454512025389
high,6,limpets,delta_c,-0.015720316436579562
high,6,balanus_glandula,delta_p,0.015637382655945054
high,6,chthamalus_dalli,delta_p,-9.859907659848233e-5
high,6,limpets,delta_p,-0.004909313345283883
high,6,balanus_glandula,r_bar,0.01774539845891354
high,6,chthamalus_dalli,r_bar,0.15189792263910018
high,6,limpets,r_bar,-0.01999990890312464
high,6,balanus_glandula,delta_cp,-0.01640972735562074
high,6,chthamalus_dalli,delta_cp,0.1440819199606923
high,6,limpets,delta_cp,0.005128810151242336
high,7,balanus_glandula,delta_0,0.014847583871639203
high,7,chthamalus_dalli,delta_0,-1.172039747291409e-4
high,7,limpets,delta_0,-0.004637691203753902
high,7,balanus_glandula,delta_c,0.0025411569419779845
high,7,chthamalus_dalli,delta_c,0.06349028160099257
high,7,limpets,delta_c,-0.003293139823087543
high,7,balanus_glandula,delta_p,0.013826287755705602
high,7,chthamalus_dalli,delta_p,-9.990267070947301e-5
high,7,limpets,delta_p,-0.0047283260145614125
