larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,1,balanus_glandula,delta_0,1.5256572207172323
high,1,chthamalus_dalli,delta_0,3.0003712024224023
high,1,limpets,delta_0,0.031482765649265665
high,1,balanus_glandula,delta_c,1.38976873392756
high,1,chthamalus_dalli,delta_c,3.5291223704556534
high,1,limpets,delta_c,-0.015446199523589277
high,1,balanus_glandula,delta_p,1.1932634218909346
high,1,chthamalus_dalli,delta_p,2.189007687539185
high,1,limpets,delta_p,0.019446463737639252
high,1,balanus_glandula,r_bar,1.6591320164571135
high,1,chthamalus_dalli,r_bar,4.059639575305029
high,1,limpets,r_bar,-1.647711819136967
high,1,balanus_glandula,delta_cp,-2.4495573600786136
high,1,chthamalus_dalli,delta_cp,-4.658861685112212
high,1,limpets,delta_cp,-1.6831948490002828
high,2,balanus_glandula,delta_0,1.7113789730009767
high,2,chthamalus_dalli,delta_0,3.347641444384291
high,2,limpets,delta_0,0.04090827068703651
high,2,balanus_glandula,delta_c,1.0481666958333733
high,2,chthamalus_dalli,delta_c,1.7958017619575797
high,2,limpets,delta_c,-1.012753216420581e-4
high,2,balanus_glandula,delta_p,1.28042038737332
high,2,chthamalus_dalli,delta_p,2.9997433974515837
high,2,limpets,delta_p,0.01943880974964729
high,2,balanus_glandula,r_bar,0.7391975666081796
high,2,chthamalus_dalli,r_bar,5.069844087735139
high,2,limpets,r_bar,-0.0187310260269673
high,2,balanus_glandula,delta_cp,-3.3007684895994895
high,2,chthamalus_dalli,delta_cp,-3.0733425160583154
high,2,limpets,delta_cp,-0.07897683114200904
high,3,balanus_glandula,delta_0,1.651153751436985
high,3,chthamalus_dalli,delta_0,3.390873917657384
high,3,limpets,delta_0,0.04026697701404547
high,3,balanus_glandula,delta_c,0.7521020053945446
high,3,chthamalus_dalli,delta_c,1.8408779511729214
high,3,limpets,delta_c,0.016617964377336314
high,3,balanus_glandula,delta_p,1.2395679740674495
high,3,chthamalus_dalli,delta_p,3.829171352231916
high,3,limpets,delta_p,0.019072930017609124
high,3,balanus_glandula,r_bar,0.981873380037859
high,3,chthamalus_dalli,r_bar,2.735923921721695
high,3,limpets,r_bar,0.010581530505751724
high,3,balanus_glandula,delta_cp,-2.6609503508611203
high,3,chthamalus_dalli,delta_cp,-6.324999299340527
high,3,limpets,delta_cp,-0.06537634090323918
high,4,balanus_glandula,delta_0,1.478445514179902
high,4,chthamalus_dalli,delta_0,3.083758906017645
high,4,limpets,delta_0,0.031379014071522215
high,4,balanus_glandula,delta_c,1.0028125777832735
high,4,chthamalus_dalli,delta_c,2.0589229783025824
high,4,limpets,delta_c,0.03602476154249823
