simulation_loop,species,coexistence_partition,coexistence_strength
1,balanus_glandula,delta_0,0.05144148231338341
1,chthamalus_dalli,delta_0,0.1646934386178729
1,limpets,delta_0,0.0031518261064023
1,balanus_glandula,delta_c,0.6460107085176239
1,chthamalus_dalli,delta_c,0.5023801063270754
1,limpets,delta_c,-0.5884691966204658
1,balanus_glandula,delta_p,0.05119831596112889
1,chthamalus_dalli,delta_p,0.16793415346047214
1,limpets,delta_p,0.0030476569912487594
1,balanus_glandula,r_bar,0.9612115398565635
1,chthamalus_dalli,r_bar,0.08674167838486468
1,limpets,r_bar,-0.5907659504107887
1,balanus_glandula,delta_cp,0.2125610330644273
1,chthamalus_dalli,delta_cp,-0.7482660200205558
1,limpets,delta_cp,-0.008496236887973962
2,balanus_glandula,delta_0,0.0557675526453848
2,chthamalus_dalli,delta_0,0.15539147216127014
2,limpets,delta_0,0.003442703763729238
2,balanus_glandula,delta_c,0.3550006663813663
2,chthamalus_dalli,delta_c,0.6180230683846446
2,limpets,delta_c,-0.6120865555766333
2,balanus_glandula,delta_p,0.055905891499290705
2,chthamalus_dalli,delta_p,0.15844407456969267
2,limpets,delta_p,0.0033241521318427836
2,balanus_glandula,r_bar,0.6011727987455879
2,chthamalus_dalli,r_bar,0.0815111662011585
2,limpets,r_bar,-0.5479477967354012
2,balanus_glandula,delta_cp,0.13449868821954614
2,chthamalus_dalli,delta_cp,-0.8503474489144489
2,limpets,delta_cp,0.05737190294566008
3,balanus_glandula,delta_0,0.07037681533647056
3,chthamalus_dalli,delta_0,0.15467422484877524
3,limpets,delta_0,0.00336968916351299
3,balanus_glandula,delta_c,0.6389550713533949
3,chthamalus_dalli,delta_c,0.21960011449374406
3,limpets,delta_c,-0.6605667106762356
3,balanus_glandula,delta_p,0.06998320581991457
3,chthamalus_dalli,delta_p,0.1583222087812297
3,limpets,delta_p,0.0032707619280913924
3,balanus_glandula,r_bar,0.3574200379361887
3,chthamalus_dalli,r_bar,0.14325744229320136
3,limpets,r_bar,-0.5815659858160962
3,balanus_glandula,delta_cp,-0.42189505457359133
3,chthamalus_dalli,delta_cp,-0.38933910583054765
3,limpets,delta_cp,0.07236027376853504
4,balanus_glandula,delta_0,0.06280927135361192
4,chthamalus_dalli,delta_0,0.16614477040517417
4,limpets,delta_0,0.0031636882282845002
4,balanus_glandula,delta_c,0.7847489417467512
4,chthamalus_dalli,delta_c,0.6541524293548129
4,limpets,delta_c,-0.5635345428222152
4,balanus_glandula,delta_p,0.06261923241890877
4,chthamalus_dalli,delta_p,0.17011440124747224
4,limpets,delta_p,0.0030670041635423306
4,balanus_glandula,r_bar,0.6475488980008761
4,chthamalus_dalli,r_bar,0.8051587592247207
4,limpets,r_bar,-0.5878072887734065
4,balanus_glandula,delta_cp,-0.2626285475183958
4,chthamalus_dalli,delta_cp,-0.1852528417827386
4,limpets,delta_cp,-0.030503438343018163
5,balanus_glandula,delta_0,0.06568292703514533
5,chthamalus_dalli,delta_0,0.15366070057821002
5,limpets,delta_0,0.0034807868418189614
5,balanus_glandula,delta_c,0.7234190195148973
5,chthamalus_dalli,delta_c,0.12838069657353923
5,limpets,delta_c,-0.7333029007192187
5,balanus_glandula,delta_p,0.06582104016880708
5,chthamalus_dalli,delta_p,0.15724077642455891
5,limpets,delta_p,0.0033802024697457966
5,balanus_glandula,r_bar,0.4225102247867796
5,chthamalus_dalli,r_bar,0.1328472120270734
5,limpets,r_bar,-0.6203298518693543
5,balanus_glandula,delta_cp,-0.4324127619320701
5,chthamalus_dalli,delta_cp,-0.3064349615492348
5,limpets,delta_cp,0.10611205953829961
6,balanus_glandula,delta_0,0.06047366584234448
6,chthamalus_dalli,delta_0,0.17077354834226555
6,limpets,delta_0,0.0038885203512486477
6,balanus_glandula,delta_c,0.5983423307430751
6,chthamalus_dalli,delta_c,0.0032020179951688377
6,limpets,delta_c,-0.5689442352356218
6,balanus_glandula,delta_p,0.06058878878893603
6,chthamalus_dalli,delta_p,0.1745404834808415
6,limpets,delta_p,0.0037352923228466395
6,balanus_glandula,r_bar,0.6121266322964807
6,chthamalus_dalli,r_bar,0.11064759560604776
6,limpets,r_bar,-0.6337635569190294
6,balanus_glandula,delta_cp,-0.10727815307787492
