larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,1,balanus_glandula,delta_0,0.017616644338761756
high,1,chthamalus_dalli,delta_0,-1.207215718699306e-4
high,1,limpets,delta_0,-0.0043863305140493525
high,1,balanus_glandula,delta_c,0.16549903907864816
high,1,chthamalus_dalli,delta_c,0.009050112968642443
high,1,limpets,delta_c,-0.02073400200901232
high,1,balanus_glandula,delta_p,0.016647073616405494
high,1,chthamalus_dalli,delta_p,-9.95160608698864e-5
high,1,limpets,delta_p,-0.005297895937670716
high,1,balanus_glandula,r_bar,0.08891942455485569
high,1,chthamalus_dalli,r_bar,-0.0036475451632245193
high,1,limpets,r_bar,-0.014093548103200959
high,1,balanus_glandula,delta_cp,-0.11084333247895972
high,1,chthamalus_dalli,delta_cp,-0.012477420499127145
high,1,limpets,delta_cp,0.01632468035753143
high,2,balanus_glandula,delta_0,0.01737883429225051
high,2,chthamalus_dalli,delta_0,-1.1947360456809886e-4
high,2,limpets,delta_0,-0.004467188304666858
high,2,balanus_glandula,delta_c,0.0917834311244472
high,2,chthamalus_dalli,delta_c,0.009445636159807869
high,2,limpets,delta_c,-0.01333712639066098
high,2,balanus_glandula,delta_p,0.015558403492982986
high,2,chthamalus_dalli,delta_p,-1.7915594077155816e-4
high,2,limpets,delta_p,-0.004619581590064592
high,2,balanus_glandula,r_bar,0.01770972050709907
high,2,chthamalus_dalli,r_bar,0.04261135197080801
high,2,limpets,r_bar,-0.005417599231316128
high,2,balanus_glandula,delta_cp,-0.10701094840258163
high,2,chthamalus_dalli,delta_cp,0.0334643453563398
high,2,limpets,delta_cp,0.017006297054076303
high,3,balanus_glandula,delta_0,0.017235875637105158
high,3,chthamalus_dalli,delta_0,-1.1934623448006665e-4
high,3,limpets,delta_0,-0.0045575873013421475
high,3,balanus_glandula,delta_c,0.06813764581934922
high,3,chthamalus_dalli,delta_c,0.026109696397997206
high,3,limpets,delta_c,-0.02093240394407636
high,3,balanus_glandula,delta_p,0.011841352101526481
high,3,chthamalus_dalli,delta_p,-9.431687471850303e-5
high,3,limpets,delta_p,-0.004791464963964209
high,3,balanus_glandula,r_bar,0.03279746717870213
high,3,chthamalus_dalli,r_bar,0.027559596960966548
high,3,limpets,r_bar,-0.015117917527214697
high,3,balanus_glandula,delta_cp,-0.06441740637927873
high,3,chthamalus_dalli,delta_cp,0.0016635636721679115
high,3,limpets,delta_cp,0.01516353868216802
high,4,balanus_glandula,delta_0,0.01821549033691139
high,4,chthamalus_dalli,delta_0,-1.2103008204000787e-4
high,4,limpets,delta_0,-0.004256808609987006
high,4,balanus_glandula,delta_c,0.03561162329729117
high,4,chthamalus_dalli,delta_c,0.009894354972793007
high,4,limpets,delta_c,-0.014713061821224449
high,4,balanus_glandula,delta_p,0.017037215138675288
high,4,chthamalus_dalli,delta_p,-9.733382880683372e-5
high,4,limpets,delta_p,-0.004358469462055092
high,4,balanus_glandula,r_bar,0.04985646481607753
high,4,chthamalus_dalli,r_bar,0.11462514509624722
high,4,limpets,r_bar,-0.00734895000322533
high,4,balanus_glandula,delta_cp,-0.02100786395680032
high,4,chthamalus_dalli,delta_cp,0.10494915403430105
high,4,limpets,delta_cp,0.015979389890041218
high,5,balanus_glandula,delta_0,0.015909499408082728
high,5,chthamalus_dalli,delta_0,-1.181491405948254e-4
high,5,limpets,delta_0,-0.004497475655681593
high,5,balanus_glandula,delta_c,0.010107750927150327
high,5,chthamalus_dalli,delta_c,0.009551507903919454
high,5,limpets,delta_c,-0.0096010757714462
high,5,balanus_glandula,delta_p,0.014995435582399352
high,5,chthamalus_dalli,delta_p,-9.014145082986147e-5
high,5,limpets,delta_p,-0.004553617055202963
high,5,balanus_glandula,r_bar,0.035957258112822243
high,5,chthamalus_dalli,r_bar,0.16547406967861678
high,5,limpets,r_bar,-0.021185485222359413
high,5,balanus_glandula,delta_cp,-0.005055427804810164
high,5,chthamalus_dalli,delta_cp,0.156130852366122
high,5,limpets,delta_cp,-0.002533316740028657
high,6,balanus_glandula,delta_0,0.0163124326735109
high,6,chthamalus_dalli,delta_0,-1.1890761282173923e-4
high,6,limpets,delta_0,-0.004478842785902937
high,6,balanus_glandula,delta_c,0.0012917898479833934
high,6,chthamalus_dalli,delta_c,0.0090987736575876
high,6,limpets,delta_c,-0.013073877067703243
high,6,balanus_glandula,delta_p,0.01582372155481826
high,6,chthamalus_dalli,delta_p,-9.729832937921401e-5
high,6,limpets,delta_p,-0.004535257971660878
high,6,balanus_glandula,r_bar,0.027109761700848
high,6,chthamalus_dalli,r_bar,-0.005713105591271583
high,6,limpets,r_bar,-0.005280594599931909
high,6,balanus_glandula,delta_cp,-0.006318182375464554
high,6,chthamalus_dalli,delta_cp,-0.01459567330665823
high,6,limpets,delta_cp,0.01680738322533515
high,7,balanus_glandula,delta_0,0.017183455997694774
high,7,chthamalus_dalli,delta_0,-1.1904061917022979e-4
high,7,limpets,delta_0,-0.004577109596414997
high,7,balanus_glandula,delta_c,0.0019180999154271294
high,7,chthamalus_dalli,delta_c,0.00922374895077449
high,7,limpets,delta_c,-0.018679661461069696
high,7,balanus_glandula,delta_p,0.017765331495500303
high,7,chthamalus_dalli,delta_p,-9.386984316805957e-5
high,7,limpets,delta_p,-0.004627621707141261
high,7,balanus_glandula,r_bar,0.017082353830658148
high,7,chthamalus_dalli,r_bar,0.08961611285877003
high,7,limpets,r_bar,-0.08594424302708903
high,7,balanus_glandula,delta_cp,-0.01978453357796406
high,7,chthamalus_dalli,delta_cp,0.08060527437033382
high,7,limpets,delta_cp,-0.058059850262463075
high,8,balanus_glandula,delta_0,0.017099518772541455
high,8,chthamalus_dalli,delta_0,-1.1908516276826209e-4
high,8,limpets,delta_0,-0.004490287171922014
high,8,balanus_glandula,delta_c,0.002090981409795578
high,8,chthamalus_dalli,delta_c,0.00860483544209778
high,8,limpets,delta_c,-0.022537798649553853
high,8,balanus_glandula,delta_p,0.016933496188324848
high,8,chthamalus_dalli,delta_p,-9.462563367335086e-5
high,8,limpets,delta_p,-0.004517970271837313
high,8,balanus_glandula,r_bar,0.017590305879228385
high,8,chthamalus_dalli,r_bar,-0.004759850259026255
high,8,limpets,r_bar,-0.006412868724226639
high,8,balanus_glandula,delta_cp,-0.018533690491433497
high,8,chthamalus_dalli,delta_cp,-0.013150974904682422
high,8,limpets,delta_cp,0.02513318736908654
high,9,balanus_glandula,delta_0,0.01727942871385557
high,9,chthamalus_dalli,delta_0,-1.2076125918270009e-4
high,9,limpets,delta_0,-0.004273970520353276
high,9,balanus_glandula,delta_c,0.024205978718355503
high,9,chthamalus_dalli,delta_c,0.08526372948784267
high,9,limpets,delta_c,-0.009711169840267653
high,9,balanus_glandula,delta_p,0.015521043045643057
high,9,chthamalus_dalli,delta_p,-9.693829013945887e-5
high,9,limpets,delta_p,-0.0044028453125752876
high,9,balanus_glandula,r_bar,0.03494443115041146
high,9,chthamalus_dalli,r_bar,0.1607296779629337
high,9,limpets,r_bar,-0.006355966119146794
high,9,balanus_glandula,delta_cp,-0.022062019327442672
high,9,chthamalus_dalli,delta_cp,0.07568364802441319
high,9,limpets,delta_cp,0.012032019554049422
high,10,balanus_glandula,delta_0,0.016705358473332987
high,10,chthamalus_dalli,delta_0,-1.1863506300702209e-4
high,10,limpets,delta_0,-0.004405211791700614
high,10,balanus_glandula,delta_c,0.0013207765431424434
high,10,chthamalus_dalli,delta_c,0.009559523399950809
high,10,limpets,delta_c,-0.013079405684382928
high,10,balanus_glandula,delta_p,0.01379326838847239
high,10,chthamalus_dalli,delta_p,-9.02261409232441e-5
high,10,limpets,delta_p,-0.0043857872949014665
high,10,balanus_glandula,r_bar,0.04580903948650339
high,10,chthamalus_dalli,r_bar,0.22979138516421282
high,10,limpets,r_bar,-0.008106570965185966
high,10,balanus_glandula,delta_cp,0.013989636081555568
high,10,chthamalus_dalli,delta_cp,0.22044072296819228
high,10,limpets,delta_cp,0.013763833805799042
low,1,balanus_glandula,delta_0,0.016236167068140572
low,1,chthamalus_dalli,delta_0,-1.1838908471173415e-4
low,1,limpets,delta_0,-0.00440970012335562
low,1,balanus_glandula,delta_c,0.06434113155943355
low,1,chthamalus_dalli,delta_c,0.2363369333604921
low,1,limpets,delta_c,-0.020926000739739603
low,1,balanus_glandula,delta_p,0.016810410458320213
low,1,chthamalus_dalli,delta_p,-1.1570524839554786e-4
low,1,limpets,delta_p,-0.004440956792951867
low,1,balanus_glandula,r_bar,0.02846518474861237
low,1,chthamalus_dalli,r_bar,0.0839092107150814
low,1,limpets,r_bar,-0.00500903352308768
low,1,balanus_glandula,delta_cp,-0.06892252433728197
