larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,1,balanus_glandula,delta_0,0.013834188486683274
high,1,chthamalus_dalli,delta_0,-1.163502380070458e-4
high,1,limpets,delta_0,-0.0047117530221661985
high,1,balanus_glandula,delta_c,0.010627373961299202
high,1,chthamalus_dalli,delta_c,0.0070547309407948955
high,1,limpets,delta_c,-0.005203613304512356
high,1,balanus_glandula,delta_p,0.009866781884552367
high,1,chthamalus_dalli,delta_p,-9.475174707995748e-5
high,1,limpets,delta_p,-0.004831377661305147
high,1,balanus_glandula,r_bar,0.03178310832842213
high,1,chthamalus_dalli,r_bar,-0.004438206274817613
high,1,limpets,r_bar,-0.01497120011477937
high,1,balanus_glandula,delta_cp,-0.0025452360041127164
high,1,chthamalus_dalli,delta_cp,-0.011281835230525505
high,1,limpets,delta_cp,-2.2445612679566906e-4
high,2,balanus_glandula,delta_0,0.01575553082234482
high,2,chthamalus_dalli,delta_0,-1.1850193306395251e-4
high,2,limpets,delta_0,-0.004524377625491627
high,2,balanus_glandula,delta_c,0.06021810587478371
high,2,chthamalus_dalli,delta_c,0.007749116762531205
high,2,limpets,delta_c,-0.020911919156818115
high,2,balanus_glandula,delta_p,0.01458446238832145
high,2,chthamalus_dalli,delta_p,-1.0023169466033544e-4
high,2,limpets,delta_p,-0.0049271271886962564
high,2,balanus_glandula,r_bar,0.050081129606788455
high,2,chthamalus_dalli,r_bar,0.45481333509890987
high,2,limpets,r_bar,-0.013661376909271383
high,2,balanus_glandula,delta_cp,-0.04047696947866153
high,2,chthamalus_dalli,delta_cp,0.44728295196410295
high,2,limpets,delta_cp,0.016702047061734615
high,3,balanus_glandula,delta_0,0.015542131716290264
high,3,chthamalus_dalli,delta_0,-1.18535575999279e-4
high,3,limpets,delta_0,-0.00443262244722753
high,3,balanus_glandula,delta_c,0.050583132756492066
high,3,chthamalus_dalli,delta_c,0.008145821244377238
high,3,limpets,delta_c,-0.01388923699540634
