larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
low-low,1,balanus_glandula,delta_0,0.015130412799378878
low-low,1,chthamalus_dalli,delta_0,-1.1729055355558238e-4
low-low,1,limpets,delta_0,-0.00446258201210703
low-low,1,balanus_glandula,delta_c,0.0692469765469319
low-low,1,chthamalus_dalli,delta_c,0.11889827547031961
low-low,1,limpets,delta_c,-0.021592299854190422
low-low,1,balanus_glandula,delta_p,0.014948593805549248
low-low,1,chthamalus_dalli,delta_p,-1.1858563405997558e-4
low-low,1,limpets,delta_p,-0.00447549625095045
low-low,1,balanus_glandula,r_bar,0.033785288558364934
low-low,1,chthamalus_dalli,r_bar,0.03695243638250889
low-low,1,limpets,r_bar,-0.005560206547003954
low-low,1,balanus_glandula,delta_cp,-0.0655406945934951
low-low,1,chthamalus_dalli,delta_cp,-0.08170996290019517
low-low,1,limpets,delta_cp,0.02497017157024395
low-low,2,balanus_glandula,delta_0,0.015728532926738703
low-low,2,chthamalus_dalli,delta_0,-1.1843724943638723e-4
low-low,2,limpets,delta_0,-0.004486896472717716
low-low,2,balanus_glandula,delta_c,0.03202519577657337
low-low,2,chthamalus_dalli,delta_c,0.15834812810153398
low-low,2,limpets,delta_c,-0.02695135458811193
low-low,2,balanus_glandula,delta_p,0.015836629795227486
low-low,2,chthamalus_dalli,delta_p,-1.2085980598308677e-4
low-low,2,limpets,delta_p,-0.0044943937677616175
low-low,2,balanus_glandula,r_bar,0.026249254861226312
low-low,2,chthamalus_dalli,r_bar,-0.0038825890390941087
low-low,2,limpets,r_bar,-0.011495712500443567
low-low,2,balanus_glandula,delta_cp,-0.037341103637313244
low-low,2,chthamalus_dalli,delta_cp,-0.16199142008520862
low-low,2,limpets,delta_cp,0.024436932328147698
low-low,3,balanus_glandula,delta_0,0.01472120826918466
low-low,3,chthamalus_dalli,delta_0,-1.1663513937165693e-4
low-low,3,limpets,delta_0,-0.004762094057063293
low-low,3,balanus_glandula,delta_c,0.046130971812455845
low-low,3,chthamalus_dalli,delta_c,0.3832078507070227
low-low,3,limpets,delta_c,-0.026338110464965814
low-low,3,balanus_glandula,delta_p,0.013397469280241436
low-low,3,chthamalus_dalli,delta_p,-1.1732340352388348e-4
low-low,3,limpets,delta_p,-0.004864622016060638
low-low,3,balanus_glandula,r_bar,0.014782946979531086
low-low,3,chthamalus_dalli,r_bar,0.005192127567178462
low-low,3,limpets,r_bar,-0.013762466938337825
low-low,3,balanus_glandula,delta_cp,-0.059466702382350856
low-low,3,chthamalus_dalli,delta_cp,-0.3777817645969487
low-low,3,limpets,delta_cp,0.02220235959975192
low-high,1,balanus_glandula,delta_0,0.016194206216706752
